Name,Guild,Race,Total Level,Items
hacheung,,Elf Female,1854,
Morixnon,,Human Female,26114,
Kareha1989,Profound,Elf Female,28171,
Justinbb,,Elf Male,4519,
Vinny,Grumbills,Human Female,73299,
CIoudstrlfe,Restless,Human Male,54710,
Faunessa,,Human Female,26223,
Artismal,Severe,Giant Male,62199,
Fnee,Silk,Giant Male,24912,
Monstar,Drowsy,Giant Male,86369,
Cheddyy,,Human Male,0,
Youwuming,,Human Male,257,
Wombiesama,Thefamily,Elf Female,17551,
mina,,Elf Female,0,
Numkeej,,Giant Male,24733,
Tayl,Wintervale,Elf Female,62749,
Ruzarie,Baltane,Elf Female,102876,
Halhowl,Hollow,Human Male,76892,
RADdonut64,,Elf Female,22429,
Spelldust,,Elf Female,0,
Slaan,Dungeon,Human Male,28133,
biwoo,Eggie,Elf Male,22253,
emmiri,,Human Female,23360,
Swimr,Lightning,Human Female,80623,
netflixandchill,,Human Male,48166,
Capivara,Hershey,Human Female,62586,
Pipluaze,Chestnut,Human Male,77780,
parkchorong,Song,Human Female,21050,
Scarfias,Tempered,Human Male,55881,
Kuriwoo,Sleep,Human Female,124003,3100003;1000059;1000059;19407
APbellum,,Human Male,21869,
solartech0,Fishmongers,Elf Male,60360,
Inalina,Paeonia,Human Female,54386,
Huoyuanjia,,Human Male,0,
Suzabelle,MOSS,Elf Female,30869,
Mayacham,Lost,Elf Female,63994,3100003;1040054
Ravel,Visions,Human Male,76879,
Buga,Poyo,Elf Male,51779,
Dernhelm,Transcend,Human Female,58698,
Exaeta,Hershey,Human Male,66085,19406;41233
Kunitsukami,ginkgo,Elf Male,63235,
Bravik,Moosh,Giant Male,71141,
cureerbase,Eggie,Elf Male,70615,19406
Iich+Ruairi,Victoria,Human Male,90878,
Rayne,Loot,Human Female,58585,
Briena,,Human Female,38119,
HIRATELIER,Oaks,Human Male,28936,
Insanidade,,Elf Female,73,
Necrojoker,Tarot,Human Male,109028,
Blinxes,Crunchy,Human Female,60748,
Alitsine,Greatlrinid,Elf Female,45378,
Kuhakux32,Yumemi,Elf Female,29108,
Yukiyupi,,Human Female,117064,
Hakuxataki,Crimsonfox,Human Male,24537,
hotbrick,Brick,Human Female,47062,
Gensai+Tarlach,Dinner,Human Male,32986,
Shibitobana,Boundaries,Human Female,67786,
Numinousdim,Archive,Human Male,76243,
Balyan,Wealth,Human Male,55185,
Tibarius,Severe,Elf Male,47906,
Hixuru,,Human Male,0,
Junkobishoku,Fletaanid,Elf Female,50364,
Baroquing,,Human Female,0,
kriskilla+Alexina,Visions,Human Male,52248,
Jayzu,Valencia,Human Male,84426,19406;3100003;3100003
Orbii,Motion,Elf Female,53168,
Zephyrrowan,Daydream,Human Male,2785,
Vanity,Goodmorning,Human Female,47313,
Allison1+Ruairi,,Human Female,31424,
Hoshyuki,,Elf Male,35756,
Chakera,,Giant Female,0,
narutomater,Lewdy,Human Male,105330,
Silentss,theholyorder,Giant Male,63279,
ouonomo,Nakamas,Elf Male,69053,
Deedledorph,,Human Female,0,
clonervn,Fulltimers,Giant Female,26486,
Sorasotara,Visions,Human Female,45887,
Fabledfox,Loot,Elf Male,54068,
Gorbon+Ruairi,,Human Male,0,
bahahhaccee,Eloquent,Giant Male,8,
Zirago,Arms,Human Male,28768,
Nekronomykon,Kirin,Human Female,126199,
charloette+Alexina,Fayenia,Human Female,77044,
Zeloverix,,Elf Female,41273,
Korabear,Boopsquad,Elf Female,65970,
Shyon,Visions,Human Male,58927,
Quinametzin,Equites,Giant Male,59212,
Bardolphus,,Elf Male,8940,
OUTPLAY,,Giant Male,21091,
Kizumonogatari,,Human Female,46566,
DADDYslamme,,Giant Female,2041,
Draconri,,Giant Male,0,
Shadowslash1,,Human Male,0,
Speb,Mazoku,Elf Male,94672,
Howlingwolf0,,Human Female,0,
Rubensan,Niflhel,Elf Male,59441,
Kobold,,Human Female,29425,
Fukumen,Juice,Elf Male,116276,
Fuchinoka,,Human Female,23198,
Monja,,Elf Female,64234,
Fomorwarrior,Grandmasterz,Giant Female,22117,
Blacklance83,,Giant Male,23704,
Nait0,,Human Female,50454,
Newskylife,,Human Male,4135,
Areumdaun,,Human Female,30162,
Emphres,Sundew,Human Female,48644,
Lane,Cakes,Elf Male,50803,
MOYASH1,Perihelion,Human Male,105261,
Koriko,Sequoia,Elf Female,33018,
IQ1,CHINGOO,Human Female,40198,
Ombrenoire,,Human Male,4388,
Shaiyoko,,Elf Female,20047,
Dnalk,Samael,Human Male,32119,
Invannity,Sword,Human Male,49311,
Vitaserva,Wildhunt,Elf Female,42936,
Kini,Eggie,Elf Female,66522,
Darthjawafet,Washedup,Elf Female,83929,
mirucchi,Vsekai,Human Female,56551,
Noxism,,Elf Male,14873,
lnya,Motion,Human Female,41851,
Giy,Motion,Elf Male,71062,
Fruitymonkey,Gunblades,Human Male,60186,
Churchh,,Human Male,23725,
Cornspicy,thorny,Human Male,50326,
Bonsaikun,Mugen,Elf Male,23741,
Czaryk,Ascend,Human Male,50115,
Omegablayzix,ICRKI,Human Male,67664,
Phantomvibe,Felons,Elf Male,24156,
Opalfiresky,Gunblades,Human Female,41605,
Ryamoto,Mazoku,Human Female,50809,
rommykins,,Human Male,26425,
Sylvy,Goodmorning,Elf Female,57506,
Feralidiot,Autumnal,Human Male,74706,
Genkitwo,Goodmorning,Human Female,44446,
Auxryier,Infamy,Human Male,44080,
Nyxtyr,Magical,Elf Female,84412,19407
sdfgnserthyw,,Elf Female,1,
Maxita+Mari,,Human Male,3551,
yowsh,Chai,Human Male,56727,
Amanikable,Severe,Human Male,92453,
Lyriawire,Zenko,Human Female,54756,
Gobiki,Nightcord,Human Female,60524,
Shanky,Lost,Human Male,74725,
Aemaeth,,Giant Male,20982,
Joji,Ponder,Human Male,67786,
Ayusei,Kirin,Human Female,81673,
Swissedtoest,,Human Female,49269,
Oilette,Capulet,Human Female,24039,
Meowenia,Friendly,Human Female,21488,
Maelric1250,,Human Male,510,
Veezo,Mazoku,Human Male,110281,
Kapre+Ruairi,,Giant Male,4160,
Lentarion,,Human Male,25809,
konoe4,Wander,Giant Female,66816,
Diancie,,Elf Female,91650,19407
Phiala,,Human Female,2981,
Kryptops,,Giant Female,1357,
Paeches,Livheimr,Elf Female,61941,
Kaisy,Restless,Human Female,64259,
Credne,Lost,Human Female,74008,
Victim,,Elf Female,24100,
Sumi,Sprouts,Giant Female,90200,19407
Mad,Sheepies,Human Male,112560,
gochubbahluh,Valencia,Human Male,118804,19406
Nephid,Ponder,Elf Female,73887,
Rozoken,Master,Human Male,124800,19406
Malcomx,Pierce,Human Male,23083,
heartlovesme,,Giant Female,25427,
Sunaeli,Uranus,Human Female,59787,
Remanent,Freesia,Human Female,72659,
Johniscool+Alexina,,Human Male,0,
Noscoper360,,Human Female,0,
Goodrich,Fearcia,Elf Male,30707,
Sarapremingr,,Human Female,672,
Allure,Sundew,Elf Female,72631,19407
Xaeok,Cavalry,Human Male,29757,
Bitingflames,Eloquent,Human Male,85852,
Pochizu,Available,Elf Male,71849,
Sylacia,Sword,Human Female,88942,
Zanshinokaze,Rememberance,Human Male,41791,
Shierathia,Niflhel,Elf Female,57732,
Insina,Funhouse,Elf Female,47632,
Giantxero,Unsure,Giant Male,52042,
Suuzu,Mirathys,Human Female,69960,
Abyssion,,Human Male,4262,
Funds,Juice,Human Male,62661,
Gambitt,Voodoo,Human Male,57307,
Rebeca828+Ruairi,Sugarcookies,Human Female,40595,
Moetron+Mari,Severe,Elf Female,67092,
Natster,Farfelkugel,Human Male,40253,
Painter,Eradicate,Human Male,58756,
Scarletpaws,Magical,Elf Female,130335,
Akunim,Cluster,Human Female,89433,
Cortny,Mahoushoujo,Human Female,35695,
Talullah+Mari,Vanquisher,Human Female,75178,
Raikyodeus,Geass,Human Male,65418,
Novafaye,,Elf Female,0,
kyaptan,Goodmorning,Human Female,58038,
INFINITY777,Cionaodh,Human Male,53823,
Durza05,Samael,Human Male,53871,
Krispykreme,GRUMPY,Human Female,58895,
Klairetron,,Elf Female,4308,
RPrima,Astarum,Human Female,20476,
fgxcbnhjwset,,Elf Female,4,
Fuhhue,SEGA,Human Male,46407,
TDraco,,Human Male,20601,
Enditi,Science,Human Female,141593,19407;1000059
GIory,Goodmorning,Elf Male,45809,
Aujukel,,Elf Female,40002,
Glitchling,thorny,Human Female,25362,
Sqootie,Ghoulblindee,Human Male,27089,
Discovercard,Swirl,Giant Male,45944,
Gunjio,Boundaries,Human Male,52940,
Luccy,Fwenchfwy,Giant Female,20936,
Candlespark,,Elf Female,22655,
Somaekju,Solarium,Human Male,65866,
Sumoribu,Tentacult,Giant Female,62207,
Zenithkai,,Elf Female,45916,
Ninechan,Palsforlife,Human Female,24077,
Darksubwoof,,Human Male,21883,
Threedasu,Cakes,Human Female,22465,
Meiranza,Archive,Elf Female,49572,
Kamukurajime,Uranus,Human Male,5291,
Amarvix,,Elf Male,67115,
Nerisu,,Giant Male,21143,
Gawdyna,Chai,Elf Female,81660,
Projectorder,,Elf Male,34823,
Replica01,,Giant Female,352,
Zapba,Astarum,Giant Female,56102,
Ian,Alts,Human Male,55200,
Yomi95,Based,Elf Female,51161,
sunnyday570,Isekai,Human Female,32309,
Racroyan,,Human Male,1366,
Luck,Swirl,Elf Male,40946,
Jenitsu,Motion,Elf Male,56559,
Quibeeboy,Available,Human Male,77134,
Lumina15,Eloquent,Human Female,51500,
Cherrycake,Iris,Human Female,48174,
Krystith,Blacktea,Elf Female,27687,
Succinyl,,Human Male,0,
Nezsa,Gotei,Human Female,8948,
Marthy,Kyndred,Human Male,67177,
Tamara,Silk,Human Female,65532,19407
Kelsie,Lost,Human Female,76480,
deon1311,,Human Male,23973,
Gigapower,Inelegant,Human Male,50102,
Maixyun,Frosty,Human Female,65120,
Chitohiiro,Prudentia,Elf Female,29787,
Noirsz,Audicia,Human Male,47746,
Celesubeams,Unsure,Elf Female,50050,
Sinbihan,Frosty,Giant Male,69677,
fufe,Grumbills,Human Male,55434,
Ugh,,Giant Female,38948,
Gurveer,,Giant Male,21584,
Polychrome,Crunchy,Elf Female,70522,
Apollousa,Available,Giant Female,41321,
Darkdiviner,Juice,Elf Female,72940,
walrusbeast,,Elf Male,1185,
Gerikg,Cloudy,Human Female,197698,3160099;1000059;1000059;3100003
Xoky,Merits,Elf Female,30426,
Piw,,Human Male,51912,
Reniya,,Elf Female,61900,
Maeille,,Human Female,0,
Hagihatake,Gotei,Human Male,85732,
Jasminya,Dreamfall,Giant Female,61432,
FENGsong,Paint,Giant Female,23843,
bleume,owosquad,Elf Female,54755,
Jarodean,Eradicate,Elf Male,64755,
Slendyman+Ruairi,Arkadia,Human Male,40683,
Ghostmyste,VRChat,Elf Female,72938,
Silverfang02,Cozycrew,Human Male,72673,
Linnay,Freesia,Human Female,40629,
Yeoneo,Transcend,Human Male,111089,
zitoped,Freesia,Human Male,50790,
STINKYTOFU1,,Giant Female,20476,
Steroids77,,Human Male,0,
Danosawrus,HUZZAH,Human Female,44720,
Lauxio,Kyndred,Giant Male,153741,
Dinooa,,Human Female,40339,
Crowclaw+Mari,Grumbills,Human Female,56953,
Agitodyne,Tylwythteg,Human Male,80216,
moworgana,Capulet,Elf Female,87750,
silvertides,Cavaliere,Human Male,37345,
Gamci,Goodmorning,Human Female,61783,1050017;19407
Noranellie,Wander,Human Female,77445,3100003
Tarranis,Weirdos,Human Male,53181,
speedykid536,Hershey,Elf Female,50151,
Tiono,,Human Male,8963,
Minirey,,Human Female,2556,
Tinnelamh,,Human Female,0,
Princejv,Peace,Human Male,24261,
Meloni,,Elf Female,74802,
Aurelyse,Motion,Elf Female,80085,
Yishii,,Human Female,50620,
Holly128,THEBLMSquad,Human Female,20551,
Absolutefyre,Visions,Giant Male,68976,
mysuperbutto,Leftovers,Human Male,27011,
machonacho8+Alexina,,Human Female,25326,
Gummipunk,Visions,Human Female,47470,
Rhieinfellt,Access,Human Female,69583,
Fusio,Amber,Human Male,20244,
Wildkun,,Elf Male,23980,
Craftyboy,Heroic,Elf Male,93788,
Welasu,,Giant Female,20476,
Catwater,Oaks,Elf Female,66385,
Alisonbr,Eradicate,Human Male,59361,
Vasnia,,Human Female,28629,
Ghostcomplex,Wanderlan,Human Male,40268,
lieutopia,Alliances,Human Female,24233,
Kyozan,Roottown,Elf Male,58850,
Mezereon,Jonagold,Human Female,25341,
Tinkerbilly,,Elf Male,21059,
Kyrielitekun,,Human Female,673,
Naevera,Vulneq,Human Female,21068,
Lyricle,Artificers,Elf Female,65454,
Mirinus,,Elf Male,2323,
Vampurity,Motion,Elf Male,42885,
Bunninora,Arrowstar,Elf Female,116473,
Puriael,Cozycrew,Human Female,24287,
reiaishii22,Coffin,Human Female,29844,
Mayuratomi,,Human Female,31482,
Gweendolin,Severe,Giant Male,64032,
Onifans,Mazoku,Human Male,98172,
Kalia,Cakes,Human Female,55908,
Eiyuse,,Giant Male,52868,
Marves,,Giant Male,0,
Letus,,Human Male,43251,
Taruen,Eggie,Human Male,56209,
Blossomi,Lily,Elf Female,49577,
Degurechaff+Tarlach,Hershey,Elf Female,61760,
Enumaa,Grandchase,Human Male,76313,
Ohabam,,Human Male,28799,
Ouroboros,Goodmorning,Giant Male,81294,
shadowrip,Cozycrew,Human Male,50088,
Akumetsu,thorny,Human Male,113030,
Muriko,,Human Female,0,
Jelly,Candy,Human Male,53743,
xbernkastelx,Boundaries,Human Female,87718,
kasoraze,,Human Female,0,
Huumeis,Thief,Human Male,34219,
Keplerr,,Elf Male,8912,
reddragcat,,Human Female,0,
Starlyght,Oaks,Human Female,106823,
Shirly+Mari,Vsekai,Human Female,61208,
Foger,,Human Male,77051,
FFDagger,Vesperiatale,Human Male,25207,
Brett,Lost,Human Male,90517,
Zandrier,Tuathade,Elf Female,55496,
Jevar,Funhouse,Elf Male,61567,
Zugon,Luxubu,Human Male,109601,
Marshsky,Loreforgers,Elf Female,20559,
Rixi,Takingover,Elf Male,85380,
Xanorious,Chai,Human Male,56552,
Lounge,NAVER,Human Male,83413,
Vycis,,Human Female,1336,
Nyaruko,,Human Female,32112,
Sparklescake,,Human Female,0,
Melatolaka,Lethaldrive,Giant Female,41248,
Dusty55+Alexina,Bloodempire,Human Female,32040,
Xidriel,,Human Female,0,
opalefia,,Elf Female,42185,
UNREALGIANT,Eggie,Giant Male,52189,
Meltyfighter,Boopsquad,Human Male,45573,
Auburn+Alexina,Totem,Elf Female,79439,
Ristyn,,Human Male,0,
Hardboil,,Giant Female,21001,
Beepbobrr,,Giant Female,22008,
Oreinuro,Akuryo,Human Male,58685,
Dearls92,Lethaldrive,Human Male,61904,
carbomb+Alexina,Bloodempire,Elf Male,87196,
Kaizenko,,Human Male,0,
Seijiritsu,,Human Male,45006,
Fluttermane7,Severe,Human Male,57015,
Twixicecream,,Human Female,20476,
Hyoryusei,Yako,Human Male,66600,
Renpika,Mahou,Human Female,64839,
Rosey,Transcend,Elf Female,66688,
Ketsuiki,Ponder,Giant Male,76334,
Jarodensai,,Human Male,0,
aidyn1,,Elf Female,1879,
Lilypom,,Human Female,42261,
Kvvn,Terrasen,Human Male,44701,
Kasandra,Dragonfly,Human Male,62824,
Diarmuid413,Hollow,Human Male,25030,
Lillitheum,,Human Female,0,
jettaii,,Elf Male,53456,
Gaitinue,,Giant Male,45055,
Merryviper,Hissfunction,Human Female,58288,
Dastardlyj,ONLYPANS,Elf Male,51624,
Kesa,Motion,Human Female,30097,
Bailey,,Human Female,0,
Navascotia,Thechampions,Human Female,26081,
Eddan,theholyorder,Human Male,81400,
Salchi,Lost,Human Male,57320,
Lileasa,Sword,Human Female,54539,
Sunless69,Alliances,Human Male,22515,
Kyeani,,Human Male,0,
Millie,Plump,Human Female,54168,
Nordicmoss,,Human Male,0,
Bunny,Blossom,Elf Female,35578,
Volcanoblade,theholyorder,Human Male,54159,
Cocopop,,Human Male,0,
Norah430,,Human Female,0,
Seadust,Litneria,Human Male,40281,
Saitama,Arkadia,Giant Female,115154,
Scoopzz,Circus,Giant Male,44524,
Nigokos,Sleep,Human Female,76296,19407
Sum,Goodmorning,Giant Female,67735,
Otonoke,Sprout,Human Female,49571,
Hringulfr,Peace,Giant Male,49477,
Khalis,Arrowstar,Human Female,99779,
Kriistof,Geeksgalore,Elf Male,9365,
Cleo,CIarity,Human Female,20110,
Yukianne,Convocation,Elf Female,57396,
Heldor,Eggie,Human Female,82437,
Cookybara,Eggie,Human Female,59782,
Anthromorph,,Human Male,0,
Rubypanther,,Elf Female,23834,
Fennegan,,Elf Male,2778,
Mud,Mazoku,Elf Female,54361,
Ayeoni,,Human Male,55392,
Paopaochahu,Cozycrew,Elf Female,34055,
Izeri,Grayraven,Human Male,29971,
Keiijii,COGs,Human Male,57510,
Kiyosara,Fateless,Giant Female,47515,
Zoonoo,Severe,Human Male,52313,
Cowmai,Carmesim,Giant Female,50318,
narutos+Tarlach,Arms,Human Male,51354,
Kanatsumi,Solarwind,Human Female,78718,
Skoduss,Magical,Human Male,53687,
Softswipe,Boopsquad,Human Male,93040,3100003;19406
Lysana,Lambda,Human Female,34086,
cglego,Bartenders,Human Male,50048,
Tituria,Severe,Giant Female,51801,
Teerex,,Human Male,53242,
jojobaoil,Coexist,Human Female,20399,
Kishimaku,Crowbitonest,Elf Male,47252,
Umi87,Severe,Human Female,65902,
Mintylyn,Wanderlan,Giant Female,21882,
Eliveos,Neurobuddies,Human Female,20620,
Mysterysaja,,Elf Male,0,
Milfena,Witchblade,Elf Female,61705,
ALegacy,Mercury,Elf Female,58909,
Arikiu,Drop,Elf Male,62633,
Straightgore,Labor,Human Male,54288,
Cyndakip,thorny,Human Female,53646,
Busted,Valencia,Elf Female,59823,
iclc+Alexina,,Human Female,74694,
Grangar,,Giant Male,1903,
Amayanyx,,Human Female,24975,
Shirogekko,,Human Male,3511,
Mend+Alexina,Visions,Human Male,69551,
CELNOIB,Nakamas,Elf Male,22115,
Zewcifer,theholyorder,Elf Male,61032,
Peasblossome,,Human Female,0,
Richardsonn,,Elf Female,20608,
mimiikyu,Hypnospace,Human Female,44146,
Tsgili,Magicka,Elf Female,53755,
Sylphizee,FORCE,Human Female,21143,
Vurgsong,Kagerou,Human Female,54834,
Beerguts,Cloudy,Human Female,45781,
Faeira,Loot,Elf Female,39927,
EIiva,Inquisitors,Human Female,55893,
ijiaa,Eggie,Elf Female,61549,19407
Unimaroki,,Giant Male,21578,
Any,Cavaliere,Giant Female,33613,
Delidos,,Giant Male,0,
Sabiki,Nightcord,Human Female,72160,
Manolo,Luxubu,Giant Male,121315,
Tanoli,,Elf Female,0,
INemico,Delirium,Human Female,23310,
Menen12,,Elf Female,22506,
Kiyoura,Fateless,Human Male,84897,
Derelictdawn,Treehouse,Human Male,52470,
Chakrai,Vanquisher,Human Male,52554,
Talitharine,Fayenia,Human Female,65011,
Megeistjr,Nightbringer,Human Female,43230,
Rosailia,Pepper,Human Female,550,
Aristohs,Faernrrinae,Elf Male,54073,
Dokuzu,,Human Male,20993,
Bizzoula,Hayaku,Elf Male,59586,
Saibogu,Cloudy,Human Female,93433,3160099;1000059;1000059;19407
Baki1111,Australians,Giant Male,56576,
sospwigwigs,Obliviongems,Elf Male,40936,
Jarkhel,,Elf Male,0,
Yomiji,Lost,Elf Female,112567,
Pandahusband,,Human Male,0,
Kaiwen,thorny,Human Male,66305,19406
Tukari,Desiderium,Elf Female,33217,
jskdoll,Lost,Elf Female,44606,
skyllea,,Elf Female,40922,
Vivienn+Mari,Moriya,Elf Female,86366,
Onasnow,THEChaos,Human Female,64420,
Lilyfaye,Kyndred,Human Female,64211,
Leighold,Minecraft,Human Male,48673,
Dynaly,,Elf Female,24138,
Luffyking,Lightning,Human Male,130626,
Sadlikklebb,,Giant Male,21894,
Listamarafay,Roseblood,Human Female,75683,
Chozo,Chopsticks,Human Male,74393,
Mizanstrel,Sternritter,Elf Female,49837,
Akiric,Dragonden,Human Male,53900,
Mrjackpumpkn,Ponder,Human Male,86426,
Evyru,Breakfast,Elf Female,27041,
Infenious,,Elf Male,405,
Gothickah,Phone,Human Female,23659,
Lonemarine,,Human Male,53515,
Haruaka,Independent,Human Female,37053,
Naiyr,Duskfall,Giant Female,22851,
Yumiayumi,Mercury,Human Female,22482,
Taikomu,,Human Male,0,
Gunthorian,,Human Male,57485,
Alliebear,,Human Female,25189,
Almott,Village,Human Male,137246,19406;3100003;41233
xarsenalx,Helldiver,Human Male,48714,
everydere,Visions,Human Male,85281,
Cannycat,illusia,Human Female,41323,
Linnart,,Elf Male,84532,
Eneojii,Arkadia,Human Male,37632,
Landezvous,,Human Female,0,
Tottin,Niflhel,Giant Male,22935,
JINGA,Whaleforce,Human Male,92918,19406
Earthlord+Alexina,,Human Male,51754,
Biyi,NAVER,Elf Male,62679,
Soyu,Alcohol,Human Female,68633,1420006
Rubixa,Grumbills,Elf Female,58748,
Hiinamori,Noircats,Human Female,48454,
Delibird,Goodmorning,Elf Male,38440,
Calajurn,ILLUMINARY,Human Male,21775,
Caelthir,,Elf Female,17515,
Jibril,Goodmorning,Human Female,102555,
Ruliesviel,Frens,Elf Female,69096,
Mapleroot,Kampfers,Giant Female,44267,
Anzokspuppet,Shiny,Elf Female,5153,
Kyoppi,Mabigen,Human Female,40233,
Lammsuu,Dinner,Elf Female,49273,
phionix68,Isekai,Human Male,74307,
Kon,Treehouse,Human Male,52214,
Sprigg,,Elf Female,0,
Against,Lost,Elf Female,50541,19407;1270029
Maxowell,Heart,Elf Male,48796,
Ketzali,Mythos,Human Male,76777,
Shiroe,Goodmorning,Human Female,78247,
danygrl,,Elf Female,51618,
Doouwu,,Elf Female,0,
Gyokurohana,,Human Male,0,
Sorchuh,Valynthearts,Elf Female,41281,
Tumal,,Human Male,0,
Theoddfox,Niflhel,Human Female,54622,
baekdohwa,,Human Male,134,
sydykyd,Arms,Human Female,20821,
Laris+Ruairi,Kismet,Human Male,40732,
Shinigami13,Diamonds,Human Female,21474,
Cinnamoka,Cinnamon,Human Female,32244,
Theosophy,Vanquisher,Human Male,96775,
Jiuhin,Intimidation,Human Female,123000,19407
Oisin,,Human Male,22221,
Huzgrarg,,Human Male,304,
Kharazad,Labor,Human Female,25268,
Rochben,Wander,Elf Female,58161,
Garbeartm87,Vanquisher,Elf Male,70722,
ABR1,Juice,Human Male,77333,
Dissever,Swirl,Human Male,80012,
Ekaterin,Slayer,Giant Female,60764,
Gaptian00,,Giant Male,0,
Fazhegazen,,Human Female,22653,
Canark,,Human Male,0,
Maeveriks,Visions,Human Male,59378,
Mikosu,Divination,Human Male,57379,
nuriko,,Human Female,29782,
hatetoseeit+Alexina,Eloquent,Giant Male,57873,
Ayceat,Oekaki,Giant Male,57544,19406;41233
Joellie,Nekomaids,Elf Female,36881,
IALyzza,Gotei,Human Female,50492,
Nefastox,,Elf Male,4586,
Olentotus,Corvidae,Giant Female,52967,
Yuechia,Witchblade,Elf Female,104071,
Muyu,Cloudy,Human Female,45667,
zakk245,Lightning,Human Male,54034,
Brownay1,,Elf Female,22068,
Kurasaryu,Mazoku,Elf Male,23222,
Sinestea,,Human Female,21304,
Sokkun,Glitch,Human Female,55931,
Droobaroo,Poros,Human Male,32591,
Adagarh,,Human Male,24014,
lughoutloud,,Human Female,40199,
Occupations,,Human Male,66493,19406
Amayspooky,,Elf Female,0,
Shinchan+Alexina,Pharmacist,Human Male,102630,19406
greenboyk,Treehouse,Elf Male,77274,
Firewispo,,Human Male,27128,
Misstitched,,Human Female,27338,
Jonagent,Gizzie,Human Female,97079,
Delphox,Goodmorning,Human Female,95072,
Duskfury,Mitigate,Human Female,133648,19407
Elliemisu,Sprouts,Human Female,43258,
Spikeg,,Giant Male,3154,
Saltiest,,Giant Female,0,
Reivi,Delirium,Human Female,35879,
Sheikahstone,,Elf Female,5903,
Bowislife,,Elf Male,49696,
Deprimida,Baguette,Human Female,74479,
Fumiko,Fairytail,Human Female,33571,
Ririina,,Human Female,38220,
Zirchonaill+Alexina,FORCE,Human Female,6309,
faceless,Kilconriola,Human Female,27879,
AISWORD,,Human Female,26392,
Tatsugi,Magical,Human Male,113773,
Eritony,Auvyn,Human Male,36691,
Nytherion1,Boundaries,Elf Male,59353,
Thandorin,Sword,Elf Female,54302,
Jian,,Human Male,21244,
inisiya,Australians,Human Female,57165,
Ninomaee,Gunblades,Elf Female,25934,
Petzlmage,Motion,Elf Male,48413,
Elishaen,Visions,Elf Male,113134,
Yuyukoyouji,Spinda,Human Female,57720,
Mahira,Valencia,Human Female,72887,19407
Avee,Insomniac,Human Female,82500,
Lycath,Kirin,Human Male,70384,
Maxo,Meowlettians,Human Male,58811,
bleetslin,Eradicate,Elf Male,57849,
Ludosade,Mitigate,Elf Male,98336,1420006;3100003;1040054;19406
markmillian,Nyaandere,Human Female,106796,19407
Gaesaekii,,Human Male,9308,
Enziio,Avallon,Human Male,56127,
Amitrajit,Delirium,Human Male,26042,
Darmande,,Human Female,2272,
Bouleon,,Human Female,31887,
Magicfury,Losers,Human Male,59868,
Zulini+Alexina,Lucrative,Human Female,24693,
LIychee,Eggie,Elf Female,45514,
Kazami,,Human Female,43108,
Ameiryu,,Human Female,0,
Kotohei,Starway,Human Female,27257,
Jojache,Anfarwol,Elf Female,44336,
Maxilios,Daikyogi,Human Male,9596,
Donkroxa,Wackusbonkus,Giant Male,51837,
Shiyoe,Felons,Human Female,65853,
Leifushan,Bahamut,Human Male,107757,
greentiger68,,Giant Male,0,
shigtlove,,Human Female,0,
Elsana+Mari,,Human Female,2126,
Cloudyb,Holyguardian,Human Male,67270,
Iesola,Avant,Human Female,23709,
Zheris,Endowed,Human Male,51565,
Kekeldim,Available,Human Female,53352,
firetype06,,Human Male,20520,
Takaleshiki,Transcend,Human Male,60567,
maaep,Available,Elf Female,22164,
Nyanwich,Kitsuneflame,Human Male,42087,
Marity,,Human Female,0,
Zazrte,Vanquisher,Giant Male,63612,
Wufle,Lost,Human Male,60132,
Ayumovu,Rivulet,Elf Female,73596,
Aidenreborn,,Human Male,22284,
Nayuchan,Noctis,Human Female,54103,
Hirohoto,Joltbolt,Human Male,41298,
Kevlin,Adventsouls,Human Female,63059,
Myysstt,Motion,Giant Male,25411,
Etovega,Cavaliere,Human Male,33368,
Boerenkool,,Human Female,20476,
Oxori,Arat,Human Female,48016,
ILLMAN,,Giant Male,0,
Quagi,Village,Giant Female,64476,
Saiake,Kyndred,Human Male,78172,
Musyoku,Nightbringer,Human Female,43523,
Vexie,Peace,Human Female,75485,
Sakkiyo,Celestrix,Elf Female,67392,
lightwealder,FORCE,Human Male,41204,
Chokofalls,Cozycrew,Elf Female,49688,
Cyerce,Horsemen,Elf Male,21378,
Frostkai,Goodmorning,Elf Male,84651,19406
Kobara,Haniwa,Elf Female,75774,
Ravera+Alexina,,Elf Female,3678,
Sleep,Fellas,Human Female,47619,
Snowy,,Human Female,0,
DestructoDisk,Looters,Human Female,47232,
Momokaharumi,Vide,Human Female,32217,
Metalwolfnub,Peace,Human Male,72544,
Sakanagi,Lost,Human Female,75383,1080048;19407;3100003
Godrecall,Godly,Human Male,95020,
Neodora,Suzunaan,Elf Female,58465,
Frappuccino,Hildred,Human Male,70460,
Zoanv2+Alexina,HER0,Human Male,35900,
Eubis,Wander,Human Male,48649,
Cinnamarolls,,Giant Female,28480,
sharkymitts,Mechanics,Elf Female,45787,
Lxief,Isekai,Human Male,22676,
Poptartfoil,Cozycrew,Elf Female,26294,
Ravas,Hystoria,Giant Male,957,
DJTambor,,Human Female,22620,
Soracules,Oracion,Elf Male,49805,
Grimvelle,Carnality,Human Male,79831,
Noraah,Sinister,Giant Female,77267,
Seiriin,Starlites,Human Female,24799,
Youako,Hjonkin,Elf Female,80002,
Beanstalke,Magical,Giant Male,62536,
Mericus,Moist,Elf Male,60370,
